Time [s],Channel 0,Channel 1
1.029015900,0,1
1.029018250,1,1
1.029079450,0,1
1.029081800,1,1
1.029143000,0,1
1.029145350,1,1
1.029206550,0,1
1.029208950,1,1
1.029270100,0,1
1.029272500,1,1
1.029333650,0,1
1.029336050,1,1
1.029397250,0,1
1.029399600,1,1
1.029460800,0,1
1.029463150,1,1
1.029524350,0,1
1.029526700,1,1
1.029587900,0,1
1.029590250,1,1
1.029651450,0,1
1.029653800,1,1
1.029715000,0,1
1.029717350,1,1
1.029778550,0,1
1.029780900,1,1
1.029842100,0,1
1.029844500,1,1
1.029905650,0,1
1.029908050,1,1
1.029969250,0,1
1.029971600,1,1
1.030032800,0,1
1.030035150,1,1
1.030096350,0,1
1.030098700,1,1
1.030159900,0,1
1.030162250,1,1
1.030223450,0,1
1.030225800,1,1
1.030287000,0,1
1.030289350,1,1
1.030350550,0,1
1.030352900,1,1
1.030414100,0,1
1.030416500,1,1
1.030477650,0,1
1.030480050,1,1
1.030541250,0,1
1.030543600,1,1
1.030604800,0,1
1.030607150,1,1
1.030668350,0,1
1.030670700,1,1
1.030731900,0,1
1.030734250,1,1
1.030795450,0,1
1.030797800,1,1
1.030859000,0,1
1.030861350,1,1
1.030922550,0,1
1.030924900,1,1
1.030986100,0,1
1.030988450,1,1
1.031049650,0,1
1.031052050,1,1
1.031113250,0,1
1.031115600,1,1
1.031176800,0,1
1.031179150,1,1
1.031240350,0,1
1.031242700,1,1
1.031303900,0,1
1.031306250,1,1
1.031367450,0,1
1.031369800,1,1
1.031431000,0,1
1.031433350,1,1
1.031494550,0,1
1.031496900,1,1
1.031558100,0,1
1.031560450,1,1
1.031621650,0,1
1.031624050,1,1
1.031685250,0,1
1.031687600,1,1
1.031748800,0,1
1.031751150,1,1
1.031812350,0,1
1.031814700,1,1
1.031875900,0,1
1.031878250,1,1
1.031939450,0,1
1.031941800,1,1
1.032003000,0,1
1.032005350,1,1
1.032066550,0,1
1.032068900,1,1
1.032130100,0,1
1.032132450,1,1
1.032193650,0,1
1.032196050,1,1
1.032257200,0,1
1.032259600,1,1
1.032320800,0,1
1.032323150,1,1
1.032384350,0,1
1.032386700,1,1
1.032447900,0,1
1.032450250,1,1
1.032511450,0,1
1.032513800,1,1
1.032575000,0,1
1.032577350,1,1
1.032638550,0,1
1.032640950,1,1
1.032702100,0,1
1.032704450,1,1
1.032765650,0,1
1.032768050,1,1
1.032829250,0,1
1.032831600,1,1
1.032892800,0,1
1.032895150,1,1
1.032956350,0,1
1.032958700,1,1
1.033019900,0,1
1.033022250,1,1
1.033083450,0,1
1.033085800,1,1
1.033147000,0,1
1.033149350,1,1
1.033210550,0,1
1.033212900,1,1
1.033274100,0,1
1.033276450,1,1
1.033337650,0,1
1.033340050,1,1
1.033401200,0,1
1.033403600,1,1
1.033464800,0,1
1.033467150,1,1
1.033528350,0,1
1.033530700,1,1
1.033591900,0,1
1.033594250,1,1
1.033655450,0,1
1.033657800,1,1
1.033719000,0,1
1.033721350,1,1
1.033782550,0,1
1.033784900,1,1
1.033846100,0,1
1.033848450,1,1
1.033909650,0,1
1.033912050,1,1
1.033973200,0,1
1.033975600,1,1
1.034036800,0,1
1.034039150,1,1
1.034100350,0,1
1.034102700,1,1
1.034163900,0,1
1.034166250,1,1
1.034227450,0,1
1.034229800,1,1
1.034291000,0,1
1.034293350,1,1
1.034354550,0,1
1.034356900,1,1
1.034418100,0,1
1.034420500,1,1
1.034481650,0,1
1.034484050,1,1
1.034545250,0,1
1.034547600,1,1
1.034608800,0,1
1.034611150,1,1
1.034672350,0,1
1.034674700,1,1
1.034735900,0,1
1.034738250,1,1
1.034799450,0,1
1.034801800,1,1
1.034863000,0,1
1.034865350,1,1
1.034926550,0,1
1.034928900,1,1
1.034990100,0,1
1.034992450,1,1
1.035053650,0,1
1.035056050,1,1
1.035117250,0,1
1.035119600,1,1
1.035180800,0,1
1.035183150,1,1
1.035244350,0,1
1.035246700,1,1
1.035307900,0,1
1.035310250,1,1
1.035371450,0,1
1.035373800,1,1
1.035435000,0,1
1.035437350,1,1
1.035498550,0,1
1.035500900,1,1
1.035562100,0,1
1.035564450,1,1
1.035625650,0,1
1.035628000,1,1
1.035689200,0,1
1.035691600,1,1
1.035752800,0,1
1.035755150,1,1
1.035816350,0,1
1.035818700,1,1
1.035879900,0,1
1.035882250,1,1
1.035943450,0,1
1.035945800,1,1
1.036007000,0,1
1.036009350,1,1
1.036070550,0,1
1.036072900,1,1
1.036134100,0,1
1.036136500,1,1
1.036197650,0,1
1.036200000,1,1
1.036261200,0,1
1.036263600,1,1
1.036324750,0,1
1.036327150,1,1
1.036388350,0,1
1.036390700,1,1
1.036451900,0,1
1.036454250,1,1
1.036515450,0,1
1.036517800,1,1
1.036579000,0,1
1.036581350,1,1
1.036642550,0,1
1.036644900,1,1
1.036706100,0,1
1.036708450,1,1
1.036769650,0,1
1.036772050,1,1
1.036833200,0,1
1.036835600,1,1
1.036896750,0,1
1.036899150,1,1
1.036960350,0,1
1.036962700,1,1
1.037023900,0,1
1.037026250,1,1
1.037087450,0,1
1.037089800,1,1
1.037151000,0,1
1.037153350,1,1
1.037214550,0,1
1.037216900,1,1
1.037278100,0,1
1.037280450,1,1
1.037341650,0,1
1.037344000,1,1
1.037405200,0,1
1.037407600,1,1
1.037468750,0,1
1.037471150,1,1
1.037532350,0,1
1.037534700,1,1
1.037595900,0,1
1.037598250,1,1
1.037659450,0,1
1.037661800,1,1
1.037723000,0,1
1.037725350,1,1
1.037786550,0,1
1.037788900,1,1
1.037850100,0,1
1.037852450,1,1
1.037913650,0,1
1.037916000,1,1
1.037977200,0,1
1.037979550,1,1
1.038040750,0,1
1.038043150,1,1
1.038104350,0,1
1.038106700,1,1
1.038167900,0,1
1.038170250,1,1
1.038231450,0,1
1.038233800,1,1
1.038295000,0,1
1.038297350,1,1
1.038358550,0,1
1.038360900,1,1
1.038422100,0,1
1.038424450,1,1
1.038485650,0,1
1.038488000,1,1
1.038549200,0,1
1.038551550,1,1
1.038612800,0,1
1.038615150,1,1
1.038676300,0,1
1.038678700,1,1
1.038739900,0,1
1.038742250,1,1
1.038803450,0,1
1.038805800,1,1
1.038867000,0,1
1.038869350,1,1
1.038930550,0,1
1.038932900,1,1
1.038994100,0,1
1.038996450,1,1
1.039057650,0,1
1.039060000,1,1
1.039121200,0,1
1.039123600,1,1
1.039184750,0,1
1.039187150,1,1
1.039248350,0,1
1.039250700,1,1
1.039311900,0,1
1.039314250,1,1
1.039375400,0,1
1.039377800,1,1
1.039439000,0,1
1.039441350,1,1
1.039502550,0,1
1.039504900,1,1
1.039566100,0,1
1.039568450,1,1
1.039629650,0,1
1.039632000,1,1
1.039693200,0,1
1.039695550,1,1
1.039756750,0,1
1.039759150,1,1
1.039820350,0,1
1.039822700,1,1
1.039883900,0,1
1.039886250,1,1
1.039947450,0,1
1.039949800,1,1
1.040011000,0,1
1.040013350,1,1
1.040074550,0,1
1.040076900,1,1
1.040138050,0,1
1.040140400,1,1
1.040201650,0,1
1.040204000,1,1
1.040265200,0,1
1.040267550,1,1
1.040328750,0,1
1.040331100,1,1
1.040392300,0,1
1.040394700,1,1
1.040455900,0,1
1.040458250,1,1
1.040519450,0,1
1.040521800,1,1
1.040583000,0,1
1.040585350,1,1
1.040646550,0,1
1.040648900,1,1
1.040710100,0,1
1.040712450,1,1
1.040773650,0,1
1.040776000,1,1
1.040837200,0,1
1.040839550,1,1
1.040900750,0,1
1.040903150,1,1
1.040964300,0,1
1.040966700,1,1
1.041027850,0,1
1.041030250,1,1
1.041091450,0,1
1.041093800,1,1
1.041155000,0,1
1.041157350,1,1
1.041218500,0,1
1.041220850,1,1
1.041282100,0,1
1.041284450,1,1
1.041345650,0,1
1.041348000,1,1
1.041409200,0,1
1.041411550,1,1
1.041472750,0,1
1.041475150,1,1
1.041536300,0,1
1.041538700,1,1
1.041599900,0,1
1.041602250,1,1
1.041663450,0,1
1.041665800,1,1
1.041727000,0,1
1.041729350,1,1
1.041790550,0,1
1.041792900,1,1
1.041854100,0,1
1.041856450,1,1
1.041917650,0,1
1.041920000,1,1
1.041981200,0,1
1.041983550,1,1
1.042044750,0,1
1.042047100,1,1
1.042108300,0,1
1.042110700,1,1
1.042171900,0,1
1.042174250,1,1
1.042235450,0,1
